themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
1,"4G",,1,"2016-02-04",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
20,"丙酮",,1,"2016-04-03",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
23,"彩票",,1,"2016-03-18",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
27,"传感器",,1,"2016-03-27",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
38,"风电",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
40,"复合肥","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
43,"白酒","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
44,"特钢","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
46,"银行","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
50,"饮料",,1,"2016-03-17",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
51,"海参",,1,"2016-04-01",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
53,"航母",,1,"2016-03-30",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
57,"核电",,1,"2016-03-29",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
66,"黄金","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
69,"集装箱",,1,"2016-03-18",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
72,"甲醇",,1,"2016-02-25",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
78,"客车",,1,"2016-03-31",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
79,"空调","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
86,"林业","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
90,"葡萄酒","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
92,"汽配",,1,"2016-02-08",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
93,"轻卡",,1,"2016-03-17",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
98,"水电","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
99,"饲料","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
110,"天然气",,1,"2016-03-21",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
113,"维生素",,1,"2016-03-21",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
116,"物流","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
119,"硝酸",,1,"2016-02-23",1,1,"2014-12-10 18:08:34","2016-05-03 09:15:04"
